Comment,Designator,Footprint,LCSC,Quantity
D,D12,D_DO-35_SOD27_P7.62mm_Horizontal,,1
D,D9,D_DO-35_SOD27_P7.62mm_Horizontal,,1
SW_MEC_5G,SW12,SW_Cherry_MX_1.00u_PCB,,1
D,D6,D_DO-35_SOD27_P7.62mm_Horizontal,,1
SW_MEC_5G,SW14,SW_Cherry_MX_1.00u_PCB,,1
D,D20,D_DO-35_SOD27_P7.62mm_Horizontal,,1
D,D3,D_DO-35_SOD27_P7.62mm_Horizontal,,1
JT8P-3.2T- -1-16Y,J5,JT8P-3.2T- -1-16Y,,1
SW_MEC_5G,SW18,SW_Cherry_MX_1.00u_PCB,,1
D,D13,D_DO-35_SOD27_P7.62mm_Horizontal,,1
D,D1,D_DO-35_SOD27_P7.62mm_Horizontal,,1
SW_MEC_5G,SW17,SW_Cherry_MX_1.00u_PCB,,1
D,D21,D_DO-35_SOD27_P7.62mm_Horizontal,,1
SW_MEC_5G,SW20,SW_Cherry_MX_1.00u_PCB,,1
AudioJack4,J4,MJ-4PP-9,,1
SW_MEC_5G,SW1,SW_Cherry_MX_1.00u_PCB,,1
SW_MEC_5G,SW11,SW_Cherry_MX_1.00u_PCB,,1
D,D17,D_DO-35_SOD27_P7.62mm_Horizontal,,1
D,D5,D_DO-35_SOD27_P7.62mm_Horizontal,,1
D,D19,D_DO-35_SOD27_P7.62mm_Horizontal,,1
SW_MEC_5G,SW9,SW_Cherry_MX_1.00u_PCB,,1
SW_MEC_5G,SW10,SW_Cherry_MX_1.00u_PCB,,1
D,D11,D_DO-35_SOD27_P7.62mm_Horizontal,,1
SW_MEC_5G,SW15,SW_Cherry_MX_1.00u_PCB,,1
D,D4,D_DO-35_SOD27_P7.62mm_Horizontal,,1
SW_MEC_5G,SW5,SW_Cherry_MX_1.00u_PCB,,1
~,U1,AE-RP2040,,1
D,D7,D_DO-35_SOD27_P7.62mm_Horizontal,,1
SW_MEC_5G,SW13,SW_Cherry_MX_1.00u_PCB,,1
D,D18,D_DO-35_SOD27_P7.62mm_Horizontal,,1
D,D15,D_DO-35_SOD27_P7.62mm_Horizontal,,1
SW_MEC_5G,SW2,SW_Cherry_MX_1.00u_PCB,,1
D,D8,D_DO-35_SOD27_P7.62mm_Horizontal,,1
D,D2,D_DO-35_SOD27_P7.62mm_Horizontal,,1
SW_MEC_5G,SW3,SW_Cherry_MX_1.00u_PCB,,1
SW_MEC_5G,SW4,SW_Cherry_MX_1.00u_PCB,,1
SW_MEC_5G,SW6,SW_Cherry_MX_1.00u_PCB,,1
SW_MEC_5G,SW8,SW_Cherry_MX_1.00u_PCB,,1
D,D22,D_DO-35_SOD27_P7.62mm_Horizontal,,1
SW_MEC_5G,SW22,SW_Cherry_MX_1.00u_PCB,,1
D,D16,D_DO-35_SOD27_P7.62mm_Horizontal,,1
D,D10,D_DO-35_SOD27_P7.62mm_Horizontal,,1
D,D14,D_DO-35_SOD27_P7.62mm_Horizontal,,1
SW_MEC_5G,SW19,SW_Cherry_MX_1.00u_PCB,,1
SW_MEC_5G,SW7,SW_Cherry_MX_1.00u_PCB,,1
SW_key,SW16,SW_Cherry_MX_1.00u_PCB,,1
SW_MEC_5G,SW21,SW_Cherry_MX_1.00u_PCB,,1
RotaryEncoder,SW25,RotaryEncoder_Alps_EC12E_Vertical_H20mm_CircularMountingHoles,,1
RotaryEncoder,SW23,RotaryEncoder_Alps_EC12E_Vertical_H20mm_CircularMountingHoles,,1
RotaryEncoder,SW24,RotaryEncoder_Alps_EC12E_Vertical_H20mm_CircularMountingHoles,,1
RotaryEncoder,SW26,RotaryEncoder_Alps_EC12E_Vertical_H20mm_CircularMountingHoles,,1
RotaryEncoder,SW27,RotaryEncoder_Alps_EC12E_Vertical_H20mm_CircularMountingHoles,,1
