Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
D1,D,D_DO-35_SOD27_P7.62mm_Horizontal,210.05,-65.445,90.0,top
D10,D,D_DO-35_SOD27_P7.62mm_Horizontal,152.9,-84.45,90.0,top
D11,D,D_DO-35_SOD27_P7.62mm_Horizontal,133.85,-84.45,90.0,top
D12,D,D_DO-35_SOD27_P7.62mm_Horizontal,114.8,-84.45,90.0,top
D13,D,D_DO-35_SOD27_P7.62mm_Horizontal,210.05,-103.5,90.0,top
D14,D,D_DO-35_SOD27_P7.62mm_Horizontal,191.0,-103.5,90.0,top
D15,D,D_DO-35_SOD27_P7.62mm_Horizontal,171.95,-103.5,90.0,top
D16,D,D_DO-35_SOD27_P7.62mm_Horizontal,152.9,-103.5,90.0,top
D17,D,D_DO-35_SOD27_P7.62mm_Horizontal,133.85,-103.5,90.0,top
D18,D,D_DO-35_SOD27_P7.62mm_Horizontal,114.8,-103.5,90.0,top
D19,D,D_DO-35_SOD27_P7.62mm_Horizontal,143.38,-122.625,90.0,top
D2,D,D_DO-35_SOD27_P7.62mm_Horizontal,191.049,-65.5,90.0,top
D20,D,D_DO-35_SOD27_P7.62mm_Horizontal,124.38,-122.625,90.0,top
D21,D,D_DO-35_SOD27_P7.62mm_Horizontal,105.38,-122.625,90.0,top
D22,D,D_DO-35_SOD27_P7.62mm_Horizontal,95.38,-142.125,90.0,top
D3,D,D_DO-35_SOD27_P7.62mm_Horizontal,171.95,-65.4,90.0,top
D4,D,D_DO-35_SOD27_P7.62mm_Horizontal,152.9,-65.4,90.0,top
D5,D,D_DO-35_SOD27_P7.62mm_Horizontal,133.85,-65.4,90.0,top
D6,D,D_DO-35_SOD27_P7.62mm_Horizontal,114.8,-65.4,90.0,top
D7,D,D_DO-35_SOD27_P7.62mm_Horizontal,210.05,-84.45,90.0,top
D8,D,D_DO-35_SOD27_P7.62mm_Horizontal,191.0,-84.45,90.0,top
D9,D,D_DO-35_SOD27_P7.62mm_Horizontal,171.95,-84.45,90.0,top
SW23,RotaryEncoder,RotaryEncoder_Alps_EC12E_Vertical_H20mm_CircularMountingHoles,194.05,-46.35,180.0,top
SW24,RotaryEncoder,RotaryEncoder_Alps_EC12E_Vertical_H20mm_CircularMountingHoles,175.05,-46.35,180.0,top
SW25,RotaryEncoder,RotaryEncoder_Alps_EC12E_Vertical_H20mm_CircularMountingHoles,155.8,-46.35,180.0,top
SW26,RotaryEncoder,RotaryEncoder_Alps_EC12E_Vertical_H20mm_CircularMountingHoles,136.8,-46.35,180.0,top
SW27,RotaryEncoder,RotaryEncoder_Alps_EC12E_Vertical_H20mm_CircularMountingHoles,118.05,-46.35,180.0,top
U1,~,AE-RP2040,84.1,-59.99,0.0,top
